ori,state_fips,block_group_geoid,bg_responsibility_population_coverage_share,responsibility_fraction_basis
KYKSP0200,21,211079705001,0.00829383886255924,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079705002,0.210698689956332,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079705003,0.131205673758865,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079706001,0.00624349635796046,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079707001,0.460435779816514,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079707002,0.332414553472988,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079707003,0.594354838709677,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079708001,0.816192560175055,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079708002,0.5,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079708003,0.73557278208441,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079709001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079709002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079709003,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079709004,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079710001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079710002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079710003,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079711001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079711002,0.0284757118927973,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079711004,0.00240096038415366,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079713001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079713002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079713003,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079713004,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211079713005,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779601001,0.900744416873449,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779602011,0.0288615713522181,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779602012,0.0838881491344873,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779602013,0.00870827285921625,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779602021,0.9453125,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779602022,0.0410216718266254,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779602023,0.387634936211973,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779603001,0.893300248138958,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779603002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779603003,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779604001,0.947951273532669,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779604002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779604003,0.996299037749815,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779604004,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779604005,0.259849119865884,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779605001,0.171363290175171,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779605003,0.00549450549450549,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779606001,0.987315010570824,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779606002,0.278004073319756,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779606003,0.718253968253968,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779607001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779607002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779607003,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779607004,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779608001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779608002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779609001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,211779609002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,212199501001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,212199501002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,212199502001,0.996285979572888,census_2020_nonmunicipal_block_population
KYKSP0200,21,212199502002,0.938447814451383,census_2020_nonmunicipal_block_population
KYKSP0200,21,212199502003,0.311200923787529,census_2020_nonmunicipal_block_population
KYKSP0200,21,212199502004,0.475779694757797,census_2020_nonmunicipal_block_population
KYKSP0200,21,212199503001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,212199503002,0.209744503862151,census_2020_nonmunicipal_block_population
KYKSP0200,21,212199504001,0.775172413793103,census_2020_nonmunicipal_block_population
KYKSP0200,21,212339601001,0.617812852311161,census_2020_nonmunicipal_block_population
KYKSP0200,21,212339601002,0.552853133769878,census_2020_nonmunicipal_block_population
KYKSP0200,21,212339601003,0.283143939393939,census_2020_nonmunicipal_block_population
KYKSP0200,21,212339601004,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,212339602001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,212339602002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,212339603001,0.637204522096608,census_2020_nonmunicipal_block_population
KYKSP0200,21,212339603002,0.399468556244464,census_2020_nonmunicipal_block_population
KYKSP0200,21,212339604001,0.228113440197287,census_2020_nonmunicipal_block_population
KYKSP0200,21,212339604002,0.552423900789177,census_2020_nonmunicipal_block_population
KYKSP0200,21,212339604005,0.273344651952462,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039201001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039201002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039201003,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039202001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039202002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039203001,0.879370629370629,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039203002,0.544962080173348,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039204001,0.682852807283763,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039204002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039204003,0.398713826366559,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039205001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039206001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210039206002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099501001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099501002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099501003,0.748281332628239,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099502001,0.508532423208191,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099502002,0.380112834978843,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099502003,0.444354838709677,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099503001,0.961038961038961,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099503002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099503003,0.749418153607448,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099504012,0.289877300613497,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099504022,0.0279329608938547,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099505001,0.0183016105417277,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099505003,0.398860398860399,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099506011,0.101906640368179,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099506021,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099506022,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099506023,0.0518962075848303,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099507011,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099507012,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099507021,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099507022,0.711759504862953,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099507023,0.906389301634473,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099508001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099508002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099508003,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099509001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099509002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099509003,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099510001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210099510002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210319301001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210319301002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210319302001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210319303011,0.973144876325088,census_2020_nonmunicipal_block_population
KYKSP0300,21,210319303021,0.285714285714286,census_2020_nonmunicipal_block_population
KYKSP0300,21,210319303022,0.193187595322827,census_2020_nonmunicipal_block_population
KYKSP0300,21,210319304001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210319305001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210619202001,0.967670830271859,census_2020_nonmunicipal_block_population
KYKSP0300,21,210619202002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210619202003,0.966666666666667,census_2020_nonmunicipal_block_population
KYKSP0300,21,210619202004,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210619203001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210619203002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210619204011,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210619204012,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210619204021,0.440277777777778,census_2020_nonmunicipal_block_population
KYKSP0300,21,210619204022,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210619801001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999701001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999701002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999702001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999702002,0.952775476387738,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999702003,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999703011,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999703021,0.998614958448753,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999703022,0.408288564850345,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999703023,0.0338600451467269,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999704001,0.314484895429899,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999704002,0.598202824133504,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999704003,0.425742574257426,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999704004,0.995,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999705001,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999705002,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999705003,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,210999705004,1,census_2020_nonmunicipal_block_population
KYKSP0300,21,211419601001,0.778673279603224,census_2020_nonmunicipal_block_population
