state_abbr,year,source_sheet,source_row_number,county,agency_name,agency_name_normalized,population_estimate,quarters_reported,months_reported,offense_level,offense_bucket,offense_name,offense_name_source,offense_slug,period,quarter,month,month_name,incident_count,annual_rate
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M11,4,11,Nov,17,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,M12,4,12,Dec,21,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - Shoplifting,Larceny - Shoplifting,larceny_shoplifting,YTD,,,,186,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M01,1,1,Jan,11,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M02,1,2,Feb,10,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M03,1,3,Mar,19,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M04,2,4,Apr,19,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M05,2,5,May,21,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M06,2,6,Jun,14,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M07,3,7,Jul,15,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M08,3,8,Aug,13,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M09,3,9,Sep,24,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M10,4,10,Oct,16,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M11,4,11,Nov,12,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Larceny - From Motor Vehicle,Larceny - From Motor Vehicle,larceny_from_motor_vehicle,M12,4,12,Dec,8,
