block_group_geoid,state_fips,population_2024,households_total,exposure_proxy_2024,vehicle_exposure_2024,burglary_premises_total,land_area_sq_mi,expected_count_total,crime_density_total,non_residential_flag,special_use_tract_flag,suppression_reasons,suppression_modes,n_offenses_published,n_neighbours,n_neighbours_coloured,neighbour_median_index,neighbour_max_index
240317008362,24,0,0,781.0,181.7594361484872,2.424590562965955,0.2631305515916056,3.0603366306609074,11.630487650140807,True,False,,non_residential,0,4.0,4.0,61.41036795689857,74.87054263524912
240317010073,24,0,0,10977.0,6257.717730255059,579.6809420302021,0.5558299647947033,29.481859589154425,53.04114829441338,True,False,,non_residential,0,13.0,12.0,34.142494803182,146.32587226741964
240317012113,24,0,0,1169.0,667.2564018075692,662.2699432726488,0.1310106400449846,24.899535475175586,190.05735310220552,True,False,,non_residential,0,9.0,7.0,76.03506853795955,146.26736038888401
240317012114,24,0,0,2525.0,1527.745426763032,654.7130492130854,0.6266160040402656,21.074290793942808,33.63190639572078,True,False,,non_residential,0,8.0,6.0,44.95581949754991,76.03506853795955
240317012116,24,0,0,2636.0,1594.1691409701202,118.10698568046388,0.12235654626229153,16.429907906771263,134.278944679846,True,False,,non_residential,0,3.0,1.0,76.03506853795955,76.03506853795955
240317015093,24,0,0,1320.0,388.2768021377982,46.59746610232859,0.7838958766494106,10.12189196570046,12.912291373395464,True,False,,non_residential,0,8.0,8.0,139.921964408406,304.73110631275995
240317027004,24,0,0,1000.0,360.49961256028854,68.52747867439919,0.21198050982558372,9.326366511861924,43.9963396613,True,False,,non_residential,0,2.0,2.0,163.05236268299547,166.28616838025482
240317038002,24,0,0,3788.0,1688.9738967020553,1856.7518306793545,0.11849089145046307,110.57821709217313,933.2212437476854,True,False,,non_residential,0,1.0,1.0,559.572515616987,559.572515616987
240317050005,24,0,0,19594.0,11837.30972365048,138.7281832132913,0.5013795217770324,71.96932331553113,143.5426063283384,True,False,,non_residential,0,8.0,8.0,76.11910068921298,339.7768292936914
240317060082,24,0,0,825.0,129.82816867749085,0.0,0.3249833451938125,4.1231074096453115,12.687134496650547,True,False,zero_or_structural_denominator,non_residential,0,2.0,2.0,41.85028079941368,46.67885975079781
240338011061,24,0,0,3776.0,440.529997490774,106.68660549858063,4.991472335369139,5.4395124809841455,1.0897611196680854,True,False,,non_residential,0,10.0,10.0,119.03778256121736,371.3940939247036
240359900000,24,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,10.0,6.0,19.320221428946773,36.415901686569015
240359901000,24,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,12.0,9.0,23.173475306287354,118.46167319041447
240359902000,24,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,9.0,8.0,25.849969296701516,101.47426280917655
240379900000,24,0,0,11.0,1.557703048047794,0.0,0.0,0.03241427968544967,,True,False,zero_or_structural_denominator,non_residential,0,27.0,23.0,42.21378200931281,143.7105393711559
240399901000,24,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,6.0,3.0,36.4572394733931,42.33816531761325
240419900000,24,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,12.0,8.0,41.73650304941823,59.23890513362723
240430110001,24,4997,0,7830.0,864.5408267270668,0.0,1.7088781152744366,3.2937310199715997,1.927423021297598,True,False,zero_or_structural_denominator,non_residential,0,4.0,4.0,32.32073110178368,43.805656570452896
240430112041,24,0,0,65.0,18.35897508493771,0.0,0.15268680133052812,0.1964959178003428,1.286921437138362,True,False,zero_or_structural_denominator,non_residential,0,4.0,4.0,27.541842532640597,200.05282972542835
