ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,preferred_source,preferred_count,preferred_months_reported,srs_months,nibrs_months,reported_count_srs,reported_count_nibrs,reporting_regime,usable_as_observed,current_row_is_true_partial,agency_year_lane_mixed
AZ0150000,AZ,LA PAZ,sheriff,14288.0,rape,nibrs_srs_equivalent_annual,0.0,3.0,3.0,3.0,0.0,0.0,true_partial,True,False,True
AZ0150000,AZ,LA PAZ,sheriff,14288.0,robbery,nibrs_srs_equivalent_annual,0.0,3.0,3.0,3.0,0.0,0.0,true_partial,True,False,True
CA0151000,CA,WASCO,local_police,29071.0,aggravated_assault,srs_return_a_annual,62.0,7.0,7.0,7.0,62.0,62.0,true_partial,False,True,True
CA0151000,CA,WASCO,local_police,29071.0,burglary,srs_return_a_annual,27.0,7.0,7.0,7.0,27.0,27.0,true_partial,False,True,True
CA0151000,CA,WASCO,local_police,29071.0,larceny,srs_return_a_annual,122.0,7.0,7.0,7.0,122.0,122.0,true_partial,False,True,True
CA0151000,CA,WASCO,local_police,29071.0,motor_vehicle_theft,srs_return_a_annual,67.0,7.0,7.0,7.0,67.0,67.0,true_partial,False,True,True
CA0151000,CA,WASCO,local_police,29071.0,murder,nibrs_srs_equivalent_annual,0.0,7.0,7.0,7.0,0.0,0.0,true_partial,True,False,True
CA0151000,CA,WASCO,local_police,29071.0,rape,srs_return_a_annual,6.0,7.0,7.0,7.0,6.0,6.0,true_partial,False,True,True
CA0151000,CA,WASCO,local_police,29071.0,robbery,srs_return_a_annual,7.0,7.0,7.0,7.0,7.0,7.0,true_partial,False,True,True
CO0020200,CO,ADAMS STATE UNIVERSITY,special_jurisdiction,0.0,aggravated_assault,srs_return_a_annual,4.0,5.0,5.0,5.0,4.0,4.0,true_partial,False,True,True
CO0020200,CO,ADAMS STATE UNIVERSITY,special_jurisdiction,0.0,burglary,nibrs_srs_equivalent_annual,0.0,5.0,5.0,5.0,0.0,0.0,true_partial,True,False,True
CO0020200,CO,ADAMS STATE UNIVERSITY,special_jurisdiction,0.0,larceny,srs_return_a_annual,17.0,5.0,5.0,5.0,17.0,17.0,true_partial,False,True,True
CO0020200,CO,ADAMS STATE UNIVERSITY,special_jurisdiction,0.0,motor_vehicle_theft,nibrs_srs_equivalent_annual,0.0,5.0,5.0,5.0,0.0,0.0,true_partial,True,False,True
