ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,months,preferred_count,implied_full_year_if_annualized,understatement,reporting_regime,preferred_source
OH0471800,OH,LORAIN CO MET PRK DIST,special_jurisdiction,0.0,murder,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0683000,WI,NORTH PRAIRIE,local_police,2249.0,robbery,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471800,OH,LORAIN CO MET PRK DIST,special_jurisdiction,0.0,motor_vehicle_theft,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0683300,WI,MUKWONAGO TOWN,local_police,8184.0,burglary,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471800,OH,LORAIN CO MET PRK DIST,special_jurisdiction,0.0,burglary,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0683300,WI,MUKWONAGO TOWN,local_police,8184.0,motor_vehicle_theft,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471400,OH,SHEFFIELD VILLAGE,local_police,4634.0,robbery,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471400,OH,SHEFFIELD VILLAGE,local_police,4634.0,rape,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471400,OH,SHEFFIELD VILLAGE,local_police,4634.0,murder,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471400,OH,SHEFFIELD VILLAGE,local_police,4634.0,aggravated_assault,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0460200,OH,RUSSELLS POINT,local_police,1390.0,rape,1.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0460200,OH,RUSSELLS POINT,local_police,1390.0,murder,1.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0460200,OH,RUSSELLS POINT,local_police,1390.0,motor_vehicle_theft,1.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0683300,WI,MUKWONAGO TOWN,local_police,8184.0,rape,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471900,OH,LORAIN COUNTY DRUG TASK,unknown,0.0,burglary,4.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471900,OH,LORAIN COUNTY DRUG TASK,unknown,0.0,larceny,4.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0683000,WI,NORTH PRAIRIE,local_police,2249.0,rape,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0481800,OH,WATERVILLE TOWNSHIP,local_police,2042.0,robbery,5.0,0.0,0.0,0.0,annual_only_but_usable,nibrs_srs_equivalent_annual
OH0482300,OH,TOLEDO LUCAS CNTY PORT A,special_jurisdiction,0.0,murder,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0683000,WI,NORTH PRAIRIE,local_police,2249.0,aggravated_assault,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0683000,WI,NORTH PRAIRIE,local_police,2249.0,burglary,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0482300,OH,TOLEDO LUCAS CNTY PORT A,special_jurisdiction,0.0,larceny,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0482300,OH,TOLEDO LUCAS CNTY PORT A,special_jurisdiction,0.0,burglary,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0683000,WI,NORTH PRAIRIE,local_police,2249.0,motor_vehicle_theft,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0482300,OH,TOLEDO LUCAS CNTY PORT A,special_jurisdiction,0.0,aggravated_assault,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0481800,OH,WATERVILLE TOWNSHIP,local_police,2042.0,rape,5.0,0.0,0.0,0.0,annual_only_but_usable,nibrs_srs_equivalent_annual
OH0471900,OH,LORAIN COUNTY DRUG TASK,unknown,0.0,motor_vehicle_theft,4.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0481800,OH,WATERVILLE TOWNSHIP,local_police,2042.0,murder,5.0,0.0,0.0,0.0,annual_only_but_usable,nibrs_srs_equivalent_annual
OH0481800,OH,WATERVILLE TOWNSHIP,local_police,2042.0,motor_vehicle_theft,5.0,0.0,0.0,0.0,annual_only_but_usable,nibrs_srs_equivalent_annual
OH0481800,OH,WATERVILLE TOWNSHIP,local_police,2042.0,burglary,5.0,0.0,0.0,0.0,annual_only_but_usable,nibrs_srs_equivalent_annual
OH0481800,OH,WATERVILLE TOWNSHIP,local_police,2042.0,aggravated_assault,5.0,0.0,0.0,0.0,annual_only_but_usable,nibrs_srs_equivalent_annual
OH0471900,OH,LORAIN COUNTY DRUG TASK,unknown,0.0,robbery,4.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0683000,WI,NORTH PRAIRIE,local_police,2249.0,murder,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0471900,OH,LORAIN COUNTY DRUG TASK,unknown,0.0,murder,4.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0460200,OH,RUSSELLS POINT,local_police,1390.0,larceny,1.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0460200,OH,RUSSELLS POINT,local_police,1390.0,aggravated_assault,1.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0451700,OH,BUCKEYE LAKE,local_police,2908.0,robbery,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0700400,WI,REDGRANITE,local_police,2040.0,murder,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0450300,OH,GRANVILLE,local_police,6405.0,burglary,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0450300,OH,GRANVILLE,local_police,6405.0,aggravated_assault,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0700400,WI,REDGRANITE,local_police,2040.0,burglary,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440700,OH,SOUTH POINT,local_police,3862.0,robbery,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440700,OH,SOUTH POINT,local_police,3862.0,rape,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440700,OH,SOUTH POINT,local_police,3862.0,murder,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440700,OH,SOUTH POINT,local_police,3862.0,motor_vehicle_theft,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440700,OH,SOUTH POINT,local_police,3862.0,burglary,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0700400,WI,REDGRANITE,local_police,2040.0,aggravated_assault,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0700400,WI,REDGRANITE,local_police,2040.0,rape,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440700,OH,SOUTH POINT,local_police,3862.0,aggravated_assault,7.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440400,OH,CHESAPEAKE,local_police,742.0,rape,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440400,OH,CHESAPEAKE,local_police,742.0,murder,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0440400,OH,CHESAPEAKE,local_police,742.0,motor_vehicle_theft,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0700400,WI,REDGRANITE,local_police,2040.0,robbery,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0720200,WI,NEKOOSA,local_police,2434.0,burglary,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0450300,OH,GRANVILLE,local_police,6405.0,motor_vehicle_theft,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0450300,OH,GRANVILLE,local_police,6405.0,murder,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0451700,OH,BUCKEYE LAKE,local_police,2908.0,rape,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0451300,OH,UTICA,local_police,2293.0,rape,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0451700,OH,BUCKEYE LAKE,local_police,2908.0,murder,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0683300,WI,MUKWONAGO TOWN,local_police,8184.0,robbery,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0451700,OH,BUCKEYE LAKE,local_police,2908.0,motor_vehicle_theft,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0690400,WI,MANAWA,local_police,1408.0,aggravated_assault,9.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0451700,OH,BUCKEYE LAKE,local_police,2908.0,burglary,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0451700,OH,BUCKEYE LAKE,local_police,2908.0,aggravated_assault,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0451300,OH,UTICA,local_police,2293.0,robbery,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0451300,OH,UTICA,local_police,2293.0,murder,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0450300,OH,GRANVILLE,local_police,6405.0,robbery,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
