ori7c,ori9,state_abbr,state_fips,year,aggravated_assault,burglary,larceny,motor_vehicle_theft,murder,rape,robbery,total,sig,preferred_sources,max_preferred_months,n_usable,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,cw_n_jurisdictions,cw_weight_sum,cw_relationship,cw_jurisdictions,estimated_count_2024_all_offenses,n_ori9,n_ori7,group_total_sum,group_total_max,group_excess_mass,duplicate_class,match_evidence
PA00112,PA0011200,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,11.0,7,LIBERTY TOWNSHIP,local_police,1397.0,001,43056,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4200143056,1.0,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00278,PA0027800,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,nibrs_srs_equivalent_annual,11.0,7,LINCOLN,local_police,1038.0,003,43408,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4200343408,1.0,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00444,PA0044400,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,srs_return_a_annual,2.0,0,MARION TOWNSHIP,local_police,878.0,007,47432,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4200747432,6.569907735982967,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00451,PA0045100,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,SHIPPINGPORT,local_police,199.0,007,70376,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4200770376,1.0,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00705,PA0070500,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,BELLWOOD,local_police,1798.0,013,05384,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4201305384,1.0,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00709,PA0070900,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,MARTINSBURG,local_police,1873.0,013,47872,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4201347872,1.0,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00717,PA0071700,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,NORTH WOODBURY,local_police,2614.0,013,55592,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4201355592,1.0,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00805,PA0080500,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,TROY,local_police,1247.0,015,77584,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4201577584,1.0,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00933,PA0093300,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,srs_return_a_annual,1.0,0,SPR DELAWARE CANAL,unknown,0.0,017,,fbi_cde_agency_roster,1.0,1.0,overlap,42:statewide_overlap_layer,12.0,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01023,PA0102300,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,CALLERY,local_police,384.0,019,,fbi_cde_agency_roster,1.0,1.0,exclusive,42:municipal:cousub:4201910800,1.0,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01110,PA0111000,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,cius_publication_annual,12.0,7,GALLITZIN,local_police,1779.0,021,28328,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4202128328,1.0,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01205,PA0120500,PA,42,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0|0|0|0|0|1|0,srs_return_a_annual,1.0,0,SPR SINNEMAHONING,unknown,0.0,023,,fbi_cde_agency_roster,1.0,1.0,overlap,42:statewide_overlap_layer,12.0,43,43,43.0,1.0,42.0,T2_different_ori7_identical_signature,identical_7_offense_vector
