ori9,year,offense,count,quarters_reported,months_reported,state_abbr,source,raw_data_source,assumed_months_reported
MS0220000,2024,larceny,80.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0220000,2024,motor_vehicle_theft,19.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0220000,2024,murder,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0220000,2024,rape,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0220000,2024,robbery,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230000,2024,aggravated_assault,8.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230000,2024,burglary,59.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230000,2024,larceny,198.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230000,2024,motor_vehicle_theft,41.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230000,2024,murder,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230000,2024,rape,17.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230200,2024,aggravated_assault,9.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230200,2024,burglary,60.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230200,2024,larceny,177.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230200,2024,motor_vehicle_theft,27.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230200,2024,murder,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230200,2024,rape,6.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230200,2024,robbery,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230300,2024,aggravated_assault,5.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230300,2024,burglary,9.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230300,2024,larceny,165.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0230300,2024,motor_vehicle_theft,8.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240000,2024,aggravated_assault,35.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240000,2024,burglary,105.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240000,2024,larceny,357.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240000,2024,motor_vehicle_theft,42.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240000,2024,murder,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240000,2024,rape,27.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240000,2024,robbery,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240100,2024,aggravated_assault,119.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240100,2024,burglary,77.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240100,2024,larceny,1442.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240100,2024,motor_vehicle_theft,89.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240100,2024,murder,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240100,2024,rape,42.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240100,2024,robbery,33.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240200,2024,aggravated_assault,386.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240200,2024,burglary,328.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240200,2024,larceny,2272.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240200,2024,motor_vehicle_theft,246.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240200,2024,murder,4.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240200,2024,rape,31.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240200,2024,robbery,37.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240300,2024,aggravated_assault,11.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240300,2024,burglary,19.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240300,2024,larceny,142.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240300,2024,motor_vehicle_theft,10.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240300,2024,rape,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240300,2024,robbery,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240400,2024,burglary,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240400,2024,larceny,50.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240400,2024,motor_vehicle_theft,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240800,2024,aggravated_assault,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240800,2024,burglary,32.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240800,2024,larceny,757.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240800,2024,motor_vehicle_theft,11.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240800,2024,rape,12.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0240800,2024,robbery,5.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0250200,2024,aggravated_assault,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0250200,2024,burglary,5.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0250200,2024,larceny,7.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0250300,2024,aggravated_assault,8.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0250300,2024,burglary,15.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0250300,2024,larceny,266.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0250300,2024,motor_vehicle_theft,43.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0250300,2024,rape,9.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0250300,2024,robbery,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0250700,2024,larceny,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0251000,2024,aggravated_assault,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0251000,2024,burglary,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0251000,2024,larceny,7.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0253200,2024,aggravated_assault,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0253200,2024,burglary,16.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0253200,2024,larceny,75.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
