"Crimes by Offense and Town"
"Current date: 8/2/2026 12:43:17 AM (Eastern Daylight Time)"
"Data source: Connecticut_SS, Offense Data"
"Jurisdiction by Type: Connecticut"
"Offense Type","Incident Date","Jurisdiction by Geography","Number of Crimes",
"All Offense Types","2022","Bloomfield Police Department","1,114"
"All Offense Types","2022","CSP - Bloomfield",""
"All Offense Types","2022","Bolton","29"
"All Offense Types","2022","CSP - Bolton","29"
"All Offense Types","2022","Bozrah","12"
"All Offense Types","2022","CSP - Bozrah","12"
"All Offense Types","2022","Branford","884"
"All Offense Types","2022","Branford Police Department","871"
"All Offense Types","2022","CSP - Branford","13"
"All Offense Types","2022","Bridgeport","5,299"
"All Offense Types","2022","Bridgeport Police Department","5,224"
"All Offense Types","2022","CSP - Bridgeport","75"
"All Offense Types","2022","Bridgewater","6"
"All Offense Types","2022","CSP - Bridgewater","6"
"All Offense Types","2022","Bristol","1,814"
"All Offense Types","2022","Bristol Police Department","1,798"
"All Offense Types","2022","CSP - Bristol","16"
"All Offense Types","2022","Brookfield","354"
"All Offense Types","2022","Brookfield Police Department","352"
"All Offense Types","2022","CSP - Brookfield","2"
"All Offense Types","2022","Brooklyn","53"
"All Offense Types","2022","CSP - Brooklyn","53"
"All Offense Types","2022","Burlington","51"
"All Offense Types","2022","CSP - Burlington","51"
"All Offense Types","2022","Canaan","8"
"All Offense Types","2022","CSP - Canaan","8"
"All Offense Types","2022","Canterbury","33"
"All Offense Types","2022","CSP - Canterbury","33"
"All Offense Types","2022","Canton","83"
"All Offense Types","2022","Canton Police Department","83"
"All Offense Types","2022","CSP - Canton",""
"All Offense Types","2022","Chaplin","24"
"All Offense Types","2022","CSP - Chaplin","24"
"All Offense Types","2022","Cheshire","456"
"All Offense Types","2022","Cheshire Police Department","416"
"All Offense Types","2022","CSP - Cheshire","40"
"All Offense Types","2022","Chester","17"
"All Offense Types","2022","CSP - Chester","17"
"All Offense Types","2022","Clinton","452"
"All Offense Types","2022","Clinton Police Department","452"
"All Offense Types","2022","CSP - Clinton",""
"All Offense Types","2022","Colchester","72"
"All Offense Types","2022","CSP - Colchester","72"
"All Offense Types","2022","Colebrook","7"
"All Offense Types","2022","CSP - Colebrook","7"
"All Offense Types","2022","Columbia","32"
"All Offense Types","2022","CSP - Columbia","32"
"All Offense Types","2022","Cornwall","8"
"All Offense Types","2022","CSP - Cornwall","8"
"All Offense Types","2022","Coventry","207"
"All Offense Types","2022","Coventry Police Department","206"
"All Offense Types","2022","CSP - Coventry","1"
"All Offense Types","2022","Cromwell","792"
"All Offense Types","2022","Cromwell Police Department","790"
"All Offense Types","2022","CSP - Cromwell","2"
"All Offense Types","2022","Danbury","3,480"
"All Offense Types","2022","CSP - Danbury","11"
"All Offense Types","2022","Danbury Police Department","3,424"
"All Offense Types","2022","Western Connecticut State University","45"
"All Offense Types","2022","Darien","681"
"All Offense Types","2022","CSP - Darien","4"
"All Offense Types","2022","Darien Police Department","677"
"All Offense Types","2022","Deep River","33"
"All Offense Types","2022","CSP - Deep River","33"
"All Offense Types","2022","Derby","865"
"All Offense Types","2022","CSP - Derby",""
"All Offense Types","2022","Derby Police Department","865"
"All Offense Types","2022","Durham","45"
