priority_rank,review_lane,state_abbr,state_fips,ori9,agency_name,agency_type_name,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,official_repo_presence_flag,official_repo_transition_flag,mismatch_reason,state_priority_score_abs
376,present_but_no_2024_observation,CA,06,CA033770X,Wildomar Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
377,present_but_no_2024_observation,CA,06,CA033790X,Eastvale Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
378,missing_in_repo_master,CA,06,CA0339956,Highway Patrol: Desert Hills Commercial Vehicle Enforcement Facility,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
379,missing_in_repo_master,CA,06,CA0339960,Highway Patrol: Blythe Area Office,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
380,missing_in_repo_master,CA,06,CA0339986,Highway Patrol: Rainbow Commercial Vehicle Enforcement Facility,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
381,present_but_no_2024_observation,CA,06,CA0340500,California Department of Forestry and Fire Protection: Sacramento Headquarters,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
382,present_but_no_2024_observation,CA,06,CA0341700,California Department of Forestry and Fire Protection: Office of State Fire Marshal,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
383,missing_in_repo_master,CA,06,CA0349906,Highway Patrol: Office of Internal Affairs,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
384,missing_in_repo_master,CA,06,CA0349908,Highway Patrol: Governor's Protective Detail Section,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
385,missing_in_repo_master,CA,06,CA0349912,Highway Patrol: Valley Investigative Services Unit,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
386,missing_in_repo_master,CA,06,CA0349923,"Highway Patrol: Dignitary Protection Section, North",State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
387,missing_in_repo_master,CA,06,CA0349949,Highway Patrol: Sacramento Area Vehicle Theft Reduction Unit,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
388,present_but_no_2024_observation,CA,06,CA036200X,Big Bear Lake Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
389,present_but_no_2024_observation,CA,06,CA036210X,Grand Terrace Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
390,present_but_no_2024_observation,CA,06,CA036220X,Loma Linda Police Department,City,False,False,,False,False,,,0.0,present_but_no_2024_observation,aligned_or_mixed,no_2024_observation,0.0
